STATE,STATEFP,COUNTYFP,COUNTYNAME,COUSUBFP,COUSUBNAME
,,,,,
AL,1,1,Autauga County,90171,Autaugaville CCD
,,,,,
AL,1,1,Autauga County,90315,Billingsley CCD
,,,,,
AL,1,1,Autauga County,92106,Marbury CCD
,,,,,
AL,1,1,Autauga County,92628,Prattville CCD
,,,,,
AL,1,3,Baldwin County,90207,Bay Minette CCD
,,,,,
AL,1,3,Baldwin County,90846,Daphne CCD
,,,,,
AL,1,3,Baldwin County,90963,Elberta CCD
,,,,,
AL,1,3,Baldwin County,91053,Fairhope CCD
,,,,,
AL,1,3,Baldwin County,91152,Foley CCD
,,,,,
AL,1,3,Baldwin County,92754,Robertsdale CCD
,,,,,
AL,1,3,Baldwin County,93024,Stockton CCD
,,,,,
AL,1,3,Baldwin County,93042,Summerdale CCD
,,,,,
AL,1,5,Barbour County,90189,Bakerhill CCD
,,,,,
AL,1,5,Barbour County,90630,Clayton CCD
,,,,,
AL,1,5,Barbour County,90648,Clio CCD
,,,,,
AL,1,5,Barbour County,91017,Eufaula CCD
,,,,,
AL,1,5,Barbour County,91989,Louisville CCD
,,,,,
AL,1,7,Bibb County,90531,Centreville-Brent CCD
,,,,,
AL,1,7,Bibb County,92601,Piper-Coleanor CCD
,,,,,
AL,1,7,Bibb County,93438,West Blocton CCD
,,,,,
AL,1,9,Blount County,90333,Blountsville CCD
,,,,,
AL,1,9,Blount County,90414,Brooksville CCD
,,,,,
AL,1,9,Blount County,90612,Clarence CCD
,,,,,
AL,1,9,Blount County,90639,Cleveland CCD
,,,,,
AL,1,9,Blount County,91557,Hayden CCD
,,,,,
AL,1,9,Blount County,91953,Locust Fork CCD
,,,,,
AL,1,9,Blount County,92439,Oneonta CCD
,,,,,
AL,1,11,Bullock County,91098,Fitzpatrick CCD
,,,,,
AL,1,11,Bullock County,91701,Inverness CCD
,,,,,
AL,1,11,Bullock County,92133,Midway CCD
,,,,,
AL,1,11,Bullock County,93249,Union Springs CCD
,,,,,
AL,1,13,Butler County,90540,Chapman CCD
,,,,,
AL,1,13,Butler County,91170,Forest Home CCD
,,,,,
AL,1,13,Butler County,91314,Georgiana-McKenzie CCD
,,,,,
AL,1,13,Butler County,91422,Greenville CCD
,,,,,
AL,1,15,Calhoun County,90066,Alexandria-Webster Chapel CCD
,,,,,
AL,1,15,Calhoun County,90099,Anniston CCD
,,,,,
AL,1,15,Calhoun County,90585,Choccolocco CCD
,,,,,
AL,1,15,Calhoun County,91746,Jacksonville CCD
,,,,,
AL,1,15,Calhoun County,92430,Ohatchee CCD
,,,,,
AL,1,15,Calhoun County,92556,Piedmont CCD
,,,,,
AL,1,17,Chambers County,91107,Five Points CCD
,,,,,
AL,1,17,Chambers County,91818,La Fayette CCD
,,,,,
AL,1,17,Chambers County,91827,Lanett CCD
,,,,,
AL,1,17,Chambers County,92169,Milltown CCD
,,,,,
AL,1,17,Chambers County,93272,Valley CCD
,,,,,
AL,1,17,Chambers County,93393,Waverly CCD
,,,,,
AL,1,19,Cherokee County,90513,Cedar Bluff-Gaylesville CCD
,,,,,
AL,1,19,Cherokee County,90522,Centre CCD
,,,,,
AL,1,19,Cherokee County,91854,Leesburg CCD
,,,,,
AL,1,19,Cherokee County,92983,Spring Garden CCD
,,,,,
AL,1,21,Chilton County,90603,Clanton CCD
,,,,,
AL,1,21,Chilton County,91710,Isabella-Pletcher CCD
,,,,,
AL,1,21,Chilton County,91764,Jemison CCD
,,,,,
AL,1,21,Chilton County,92097,Maplesville CCD
,,,,,
AL,1,21,Chilton County,92178,Mineral Springs CCD
,,,,,
AL,1,21,Chilton County,93285,Verbena CCD
,,,,,
AL,1,23,Choctaw County,90441,Butler CCD
,,,,,
AL,1,23,Choctaw County,91332,Gilbertown-Toxey CCD
,,,,,
AL,1,23,Choctaw County,91908,Lisman CCD
,,,,,
AL,1,23,Choctaw County,92925,Silas CCD
,,,,,
AL,1,25,Clarke County,90675,Coffeeville CCD
,,,,,
AL,1,25,Clarke County,91260,Fulton CCD
,,,,,
AL,1,25,Clarke County,91440,Grove Hill CCD
,,,,,
AL,1,25,Clarke County,91726,Jackson CCD
,,,,,
AL,1,25,Clarke County,93132,Thomasville CCD
,,,,,
AL,1,25,Clarke County,93362,Walker Springs CCD
,,,,,
AL,1,27,Clay County,90126,Ashland CCD
,,,,,
AL,1,27,Clay County,91899,Lineville CCD
