,FIPS,Name,State
0,01001,Autauga,AL
1,01003,Baldwin,AL
2,01005,Barbour,AL
3,01007,Bibb,AL
4,01009,Blount,AL
5,01011,Bullock,AL
6,01013,Butler,AL
7,01015,Calhoun,AL
8,01017,Chambers,AL
9,01019,Cherokee,AL
10,01021,Chilton,AL
11,01023,Choctaw,AL
12,01025,Clarke,AL
13,01027,Clay,AL
14,01029,Cleburne,AL
15,01031,Coffee,AL
16,01033,Colbert,AL
17,01035,Conecuh,AL
18,01037,Coosa,AL
19,01039,Covington,AL
20,01041,Crenshaw,AL
21,01043,Cullman,AL
22,01045,Dale,AL
23,01047,Dallas,AL
24,01049,De Kalb,AL
25,01051,Elmore,AL
26,01053,Escambia,AL
27,01055,Etowah,AL
28,01057,Fayette,AL
29,01059,Franklin,AL
30,01061,Geneva,AL
31,01063,Greene,AL
32,01065,Hale,AL
33,01067,Henry,AL
34,01069,Houston,AL
35,01071,Jackson,AL
36,01073,Jefferson,AL
37,01075,Lamar,AL
38,01077,Lauderdale,AL
39,01079,Lawrence,AL
40,01081,Lee,AL
41,01083,Limestone,AL
42,01085,Lowndes,AL
43,01087,Macon,AL
44,01089,Madison,AL
45,01091,Marengo,AL
46,01093,Marion,AL
47,01095,Marshall,AL
48,01097,Mobile,AL
49,01099,Monroe,AL
50,01101,Montgomery,AL
51,01103,Morgan,AL
52,01105,Perry,AL
53,01107,Pickens,AL
54,01109,Pike,AL
55,01111,Randolph,AL
56,01113,Russell,AL
57,01115,St Clair,AL
58,01117,Shelby,AL
59,01119,Sumter,AL
60,01121,Talladega,AL
61,01123,Tallapoosa,AL
62,01125,Tuscaloosa,AL
63,01127,Walker,AL
64,01129,Washington,AL
65,01131,Wilcox,AL
66,01133,Winston,AL
67,02013,Aleutians East,AK
68,02016,Aleutians West,AK
69,02020,Anchorage,AK
70,02050,Bethel,AK
71,02060,Bristol Bay,AK
72,02068,Denali,AK
73,02070,Dillingham,AK
74,02090,Fairbanks North Star,AK
75,02100,Haines,AK
76,02110,Juneau,AK
77,02122,Kenai Peninsula,AK
78,02130,Ketchikan Gateway,AK
79,02150,Kodiak Island,AK
80,02164,Lake and Peninsula,AK
81,02170,Matanuska-Susitna,AK
82,02180,Nome,AK
83,02185,North Slope,AK
84,02188,Northwest Arctic,AK
85,02201,Prince of Wales-Outer Ketchikan,AK
86,02220,Sitka,AK
87,02232,Skagway-Hoonah-Angoon,AK
88,02240,Southeast Fairbanks,AK
89,02261,Valdez-Cordova,AK
90,02270,Wade Hampton,AK
91,02280,Wrangell-Petersburg,AK
92,02282,Yakutat,AK
93,02290,Yukon-Koyukuk,AK
94,04001,Apache,AZ
95,04003,Cochise,AZ
96,04005,Coconino,AZ
97,04007,Gila,AZ
98,04009,Graham,AZ
99,04011,Greenlee,AZ
100,04012,La Paz,AZ
101,04013,Maricopa,AZ
102,04015,Mohave,AZ
103,04017,Navajo,AZ
104,04019,Pima,AZ
105,04021,Pinal,AZ
106,04023,Santa Cruz,AZ
107,04025,Yavapai,AZ
108,04027,Yuma,AZ
109,05001,Arkansas,AR
110,05003,Ashley,AR
111,05005,Baxter,AR
112,05007,Benton,AR
113,05009,Boone,AR
114,05011,Bradley,AR
115,05013,Calhoun,AR
116,05015,Carroll,AR
117,05017,Chicot,AR
118,05019,Clark,AR
119,05021,Clay,AR
120,05023,Cleburne,AR
121,05025,Cleveland,AR
122,05027,Columbia,AR
123,05029,Conway,AR
124,05031,Craighead,AR
125,05033,Crawford,AR
126,05035,Crittenden,AR
127,05037,Cross,AR
128,05039,Dallas,AR
129,05041,Desha,AR
130,05043,Drew,AR
131,05045,Faulkner,AR
132,05047,Franklin,AR
133,05049,Fulton,AR
134,05051,Garland,AR
135,05053,Grant,AR
136,05055,Greene,AR
137,05057,Hempstead,AR
138,05059,Hot Spring,AR
139,05061,Howard,AR
140,05063,Independence,AR
141,05065,Izard,AR
142,05067,Jackson,AR
143,05069,Jefferson,AR
144,05071,Johnson,AR
145,05073,Lafayette,AR
146,05075,Lawrence,AR
147,05077,Lee,AR
148,05079,Lincoln,AR
149,05081,Little River,AR
150,05083,Logan,AR
151,05085,Lonoke,AR
152,05087,Madison,AR
153,05089,Marion,AR
154,05091,Miller,AR
155,05093,Mississippi,AR
156,05095,Monroe,AR
157,05097,Montgomery,AR
158,05099,Nevada,AR
159,05101,Newton,AR
160,05103,Ouachita,AR
161,05105,Perry,AR
162,05107,Phillips,AR
